"habitat_code","habitat_name","total_count","total_unique_species","n_records"
201,"Savanna - Dry",15227,4962,1
109,"Forest - Subtropical-tropical moist montane",13969,3746,1
105,"Forest - Subtropical-tropical dry",12380,3919,1
307,"Shrubland - Subtropical-tropical high altitude",8738,3572,1
1401,"Arable land",6380,3301,1
1403,"Plantations",4374,2639,1
1405,"Urban Areas",2502,1361,1
106,"Forest - Subtropical-tropical moist lowland",1797,1148,1
1404,"Rural Gardens",1650,1203,1
505,"Wetlands (inland) - Permanent freshwater lakes",1610,1093,1
202,"Savanna - Moist",1488,1101,1
407,"Grassland - Subtropical-tropical high altitude",682,538,1
305,"Shrubland - Subtropical-tropical dry",617,506,1
1402,"Pastureland",587,464,1
306,"Shrubland - Subtropical-tropical moist",395,285,1
405,"Grassland - Subtropical-tropical dry",377,315,1
600,"Rocky Areas",243,167,1
500,"Wetlands (inland)",224,204,1
507,"Wetlands (inland) - Permanent freshwater marshes/pools (under 8 ha)",167,145,1
908,"Marine - Coral Reefs",147,97,1
909,"Marine - Seagrass (submerged)",139,101,1
1200,"Marine - Intertidal",124,108,1
107,"Forest - Subtropical-tropical mangrove vegetation",78,68,1
900,"Marine - Neritic",53,48,1
108,"Forest - Subtropical-tropical swamp",35,34,1
506,"Wetlands (inland) - Seasonal/intermittent freshwater lakes (over 8 ha)",26,25,1
511,"Wetlands (inland) - Alpine wetlands",17,17,1
100,"Forest",12,10,1
802,"Desert - Temperate",10,9,1
NA,"Water",8,7,1
1206,"Marine - Tidepools",7,7,1
1207,"Marine - Mangroves submerged Roots",6,6,1
803,"Desert - Cold",2,2,1
406,"Grassland - Subtropical-tropical seasonally wet or flooded",1,1,1
502,"Wetlands (inland) - Seasonal/intermittent/irregular rivers/streams/creeks",1,1,1
515,"Wetlands (inland) - Seasonal/intermittent saline brackish or alkaline lakes and flats",1,1,1
