"species"
"acanthus austromontanus"
"anisostachya tenella"
"anisotes pubinervius"
"anisotes tangensis"
"asystasia africana"
"asystasia ansellioides"
"asystasia congensis"
"asystasia guttata"
"asystasia intrusa"
"asystasia laticapsula"
"asystasia lorata"
"asystasia malawiana"
"asystasia masaiensis"
"asystasia mysorensis"
"barleria angustiloba"
"barleria argentea"
"barleria blepharoides"
"barleria brownii"
"barleria crassa"
"barleria diplotricha"
"barleria faulknerae"
"barleria gracilispina"
"barleria limnogeton"
"barleria lukei"
"barleria maritima"
"barleria masaiensis"
"barleria mirabilis"
"barleria mutabilis"
"barleria paolioides"
"barleria penelopeana"
"barleria polhillii"
"barleria repens"
"barleria rhynchocarpa"
"barleria sacanii"
"barleria subregularis"
"barleria ukamensis"
"barleria venenata"
"barleria whytei"
"blepharis hildebrandtii"
"blepharis integrifolia"
"blepharis tanganyikensis"
"blepharis torrei"
"brachystephanus laxispicatus"
"brillantaisia richardsiae"
"brillantaisia riparia"
"chlamydacanthus lindavianus"
"crabbea kaessneri"
"crabbea longipes"
"crossandra mucronata"
"crossandra nilotica"
"crossandra puberula"
"crossandra stenostachya"
"dicliptera melleri"
"duosperma kilimandscharicum"
"duosperma latifolium"
"duosperma nudantherum"
"duosperma subquadrangulare"
"dyschoriste keniensis"
"ecbolium subcordatum"
"hygrophila abyssinica"
"hygrophila acinos"
"hygrophila africana"
"hygrophila albobracteata"
"hygrophila didynama"
"hygrophila hippuroides"
"hygrophila linearis"
"hygrophila pobeguinii"
"isoglossa asystasioides"
"isoglossa pareensis"
"justicia abscondita"
"justicia alterniflora"
"justicia baravensis"
"justicia betonicoides"
"justicia bizuneshiae"
"justicia cufodontii"
"justicia kiborianensis"
"justicia lithospermoides"
"justicia obtusicapsula"
"justicia ornatopila"
"justicia plectranthoides"
"justicia pseudotenella"
"justicia syncollotheca"
"justicia unyorensis"
"lepidagathis alopecuroidea"
"lepidagathis plantaginea"
"lepidagathis scariosa"
"meiosperma bracteatum"
"meiosperma debile"
"meiosperma eminii"
"meiosperma tetrasperma"
"mellera insignis"
"mellera submutica"
"mimulopsis macrantha"
"mimulopsis marronina"
"mimulopsis volleseniana"
"monothecium glandulosum"
"neuracanthus decorus"
"nicoteba betonica"
"nicoteba fittonioides"
"phaulopsis sangana"
"pogonospermum attenuifolium"
"pogonospermum ciliatum"
"pogonospermum subsessile"
"pogonospermum tricostatum"
"pseuderanthemum usambarensis"
"pseudocalyx saccatus"
"rhinacanthus pulcher"
"rhinacanthus virens"
"ruellia amabilis"
"ruellia burttii"
"ruellia praetermissa"
"ruellia richardsiae"
"rungia paxiana"
"rungia schliebenii"
"ruspolia australis"
"ruspolia decurrens"
"sclerochiton insignis"
"sclerochiton kirkii"
"stenandriopsis afromontana"
"stenandriopsis grandiflora"
"stenandriopsis warneckei"
"thunbergia austromontana"
"thunbergia bogoroensis"
"thunbergia ciliata"
"thunbergia crispa"
"thunbergia guerkeana"
"thunbergia laborans"
"thunbergia microchlamys"
"thunbergia mildbraediana"
"thunbergia minziroensis"
"thunbergia racemosa"
"whitfieldia stuhlmannii"
"caloncoba welwitschii"
"lindackeria bukobensis"
"lindackeria fragrans"
"lindackeria schweinfurthii"
"lindackeria stipulata"
"xylotheca tettensis"
"delosperma oehleri"
"sesuvium hydaspicum"
"trianthema ceratosepalum"
"trianthema sanguineum"
"trianthema triquetrum"
"zaleya redimita"
"alisma plantago-aquatica"
"caldesia parnassifolia"
"limnophyton angolense"
"ranalisma humile"
"wiesneria filifolia"
"achyranthes pedicellata"
"achyropsis gracilis"
"amaranthus sparganiocephalus"
"amaranthus thunbergii"
"atriplex brenanii"
