"family","n"
"Fabaceae",678
"Rubiaceae",455
"Poaceae",440
"Orchidaceae",334
"Acanthaceae",314
"Asteraceae",294
"Cyperaceae",232
"Euphorbiaceae",203
"Lamiaceae",180
"Malvaceae",170
"Apocynaceae",137
"Vitaceae",80
"Convolvulaceae",78
"Commelinaceae",75
"Loranthaceae",73
"Phyllanthaceae",71
"Annonaceae",68
"Asparagaceae",68
"Cucurbitaceae",67
"Moraceae",59
"Polypodiaceae",58
"Aspleniaceae",55
"Orobanchaceae",54
"Balsaminaceae",50
"Combretaceae",49
"Campanulaceae",47
"Amaranthaceae",45
"Iridaceae",44
"Asphodelaceae",42
"Celastraceae",42
"Sapindaceae",42
"Pteridaceae",41
"Capparaceae",37
"Ochnaceae",36
"Boraginaceae",35
"Gentianaceae",35
"Apiaceae",33
"Passifloraceae",33
"Rutaceae",33
"Solanaceae",32
"Melastomataceae",30
"Sapotaceae",29
"Urticaceae",29
"Anacardiaceae",27
"Burseraceae",27
"Polygalaceae",27
"Santalaceae",26
"Gesneriaceae",25
"Ebenaceae",24
"Meliaceae",23
"Polygonaceae",23
"Eriocaulaceae",22
"Linderniaceae",22
"Salicaceae",21
"Thymelaeaceae",20
"Araceae",19
"Loganiaceae",19
"Crassulaceae",18
"Xyridaceae",18
"Zingiberaceae",16
"Menispermaceae",15
"Myrtaceae",15
"Rhamnaceae",15
"Hymenophyllaceae",14
"Lentibulariaceae",14
"Ranunculaceae",14
"Brassicaceae",13
"Dichapetalaceae",13
"Proteaceae",13
"Rosaceae",13
"Scrophulariaceae",13
"Violaceae",13
"Cleomaceae",12
"Clusiaceae",12
"Geraniaceae",12
"Oleaceae",12
"Verbenaceae",12
"Araliaceae",11
"Begoniaceae",11
"Caryophyllaceae",11
"Hypoxidaceae",11
"Malpighiaceae",11
"Amaryllidaceae",10
"Dioscoreaceae",10
"Ericaceae",10
"Hypericaceae",10
"Onagraceae",10
"Plantaginaceae",9
"Primulaceae",9
"Rhizophoraceae",9
"Arecaceae",8
"Bignoniaceae",8
"Connaraceae",8
"Dennstaedtiaceae",8
"Lythraceae",8
"Nyctaginaceae",8
"Piperaceae",8
"Putranjivaceae",8
"Chrysobalanaceae",7
"Colchicaceae",7
"Linaceae",7
"Olacaceae",7
"Achariaceae",6
"Caprifoliaceae",6
"Erythroxylaceae",6
"Hydrocharitaceae",6
"Lauraceae",6
"Pedaliaceae",6
"Aizoaceae",5
"Dilleniaceae",5
"Dipterocarpaceae",5
"Droseraceae",5
"Oxalidaceae",5
"Peraceae",5
"Plumbaginaceae",5
"Podocarpaceae",5
"Aristolochiaceae",4
"Burmanniaceae",4
"Cannabaceae",4
"Costaceae",4
"Gleicheniaceae",4
"Icacinaceae",4
"Juncaceae",4
"Molluginaceae",4
"Picrodendraceae",4
"Portulacaceae",4
"Potamogetonaceae",4
"Zygophyllaceae",4
"Alismataceae",3
"Canellaceae",3
"Cornaceae",3
"Ophioglossaceae",3
"Opiliaceae",3
"Pandanaceae",3
"Pittosporaceae",3
"Salvadoraceae",3
"Stilbaceae",3
"Talinaceae",3
"Tecophilaeaceae",3
"Velloziaceae",3
"Zamiaceae",3
"Anisophylleaceae",2
"Aponogetonaceae",2
"Buxaceae",2
"Cardiopteridaceae",2
"Gelsemiaceae",2
"Gisekiaceae",2
"Goodeniaceae",2
"Hamamelidaceae",2
"Hydrostachyaceae",2
"Menyanthaceae",2
"Metteniusaceae",2
"Nymphaeaceae",2
"Pentaphylacaceae",2
"Simaroubaceae",2
"Smilacaceae",2
"Typhaceae",2
"Vahliaceae",2
"Ancistrocladaceae",1
"Aphloiaceae",1
"Aquifoliaceae",1
"Balanophoraceae",1
"Basellaceae",1
"Berberidaceae",1
"Cactaceae",1
"Calophyllaceae",1
"Caricaceae",1
"Ceratophyllaceae",1
"Cupressaceae",1
"Cymodoceaceae",1
"Elatinaceae",1
"Equisetaceae",1
"Flagellariaceae",1
"Francoaceae",1
"Gerrardinaceae",1
"Gunneraceae",1
"Hernandiaceae",1
"Hydroleaceae",1
"Irvingiaceae",1
"Iteaceae",1
"Ixonanthaceae",1
"Juncaginaceae",1
"Lecythidaceae",1
"Limeaceae",1
"Lonchitidaceae",1
"Lophiocarpaceae",1
"Marantaceae",1
"Marsileaceae",1
"Monimiaceae",1
"Montiniaceae",1
"Musaceae",1
"Myristicaceae",1
"Myrothamnaceae",1
"Papaveraceae",1
"Penaeaceae",1
"Phrymaceae",1
"Phytolaccaceae",1
"Podostemaceae",1
"Pontederiaceae",1
"Resedaceae",1
"Salviniaceae",1
"Schizaeaceae",1
"Sladeniaceae",1
"Sphenocleaceae",1
"Tamaricaceae",1
"Triuridaceae",1
