"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Acanthopale confertiflora",-9.16666,33.8833,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Acanthopale confertiflora",-6,37.7167,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Acanthopale confertiflora",-9.96666,34.5833,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Acanthopale laxiflora",-4.51667,38.3,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthopale pubescens",-6.94,36.5675,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Acanthopale laxiflora",-4.71667,38.3,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthopale laxiflora",-1.05,31.55,"Acanthaceae","herb",201,"Savanna – Dry"
"Acanthopale pubescens",-6.09861,37.4953,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Acanthopale laxiflora",-3.38417,36.7919,"Acanthaceae","herb",201,"Savanna – Dry"
"Acanthopale pubescens",-6.17,30.6667,"Acanthaceae","shrub",201,"Savanna – Dry"
"Acanthopale laxiflora",-3.26667,36.45,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus polystachyus var. polystachyus",-2.7,30.7,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Acanthus montanus",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Acanthus montanus",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Acanthus ueleensis",-8.61555,35.6217,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus ueleensis",-9.33333,33.9833,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus ueleensis",-8.5,35.75,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus polystachyus var. polystachyus",-1.02361,31.6286,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Acanthus eminens",-8.62583,35.6186,"Acanthaceae","shrub",202,"Savanna – Moist"
"Acanthus ueleensis",-6.21666,30.3,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Acanthus ueleensis",-9.01666,33.55,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus ueleensis",-5.51428,30.5775,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Acanthus ueleensis",-9.17194,33.6406,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus ueleensis",-5.93333,30.1,"Acanthaceae","herb",201,"Savanna – Dry"
"Acanthus polystachyus",-4.8,38.4833,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Acanthus ueleensis",-8.85,33.2833,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Acanthus ueleensis",-7.63972,30.8522,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Anisosepalum humbertii",-7.75,36.4833,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Anisosepalum humbertii",-8.41666,35.75,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Anisosepalum humbertii",-8.48333,35.8167,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Anisosepalum humbertii",-8.41666,35.75,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Anisosepalum humbertii subsp. humbertii",-7.78333,36.8667,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Anisosepalum humbertii",-8.60166,35.6183,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Anisosepalum humbertii",-7.77944,36.4739,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Anisosepalum humbertii",-7.78333,36.4833,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Anisosepalum lewallei",-5.48333,30.5333,"Acanthaceae","herb",201,"Savanna – Dry"
"Anisosepalum lewallei",-5.48333,30.5333,"Acanthaceae","herb",201,"Savanna – Dry"
"Anisotes dumosus subsp. dumosus",-3.66666,33.4333,"Acanthaceae","shrub",1405,"Artificial – Urban Areas"
"Anisotes pubinervis",-9.28333,33.6167,"Acanthaceae","shrub",1403,"Artificial – Plantations"
"Anisotes bracteatus",-7.7,34.85,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Anisotes bracteatus",-6.53333,36.3667,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Anisotes sessiliflorus subsp. iringensis",-7.45,36.5667,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes pubinervis",-4.78333,38.5,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes sessiliflorus subsp. iringensis",-7.5,36.5,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes nyassae",-8.59972,35.6242,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes nyassae",-8.59972,35.6242,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes pubinervis",-5.48079,30.583,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Anisotes pubinervis",-5.48074,30.5828,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Anisotes umbrosus",-6.68333,37.6,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes nyassae",-7.68333,36.85,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes pubinervis",-3.38389,36.7922,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Anisotes nyassae",-8.60972,35.6239,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Anisotes sessiliflorus subsp. iringensis",-7.55,36.6833,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Anisotes pubinervis",-6.21666,30.3,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Anisotes sessiliflorus subsp. iringensis",-7.66666,36.3333,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes spectabilis",-7.16666,37.5167,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Anisotes tanensis",-4.8,38.5,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes tanensis",-5.61667,37.4667,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Anisotes sessiliflorus subsp. iringensis",-7.59111,36.3358,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes spectabilis",-6.88333,37.6667,"Acanthaceae","shrub",1402,"Artificial – Pastureland"
"Anisotes spectabilis",-7.76667,36.5333,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Anisotes pubinervis",-4.76667,38.4833,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes spectabilis",-6.08333,37.45,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Anisotes pubinervis",-3.36388,36.8306,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes pubinervis",-3.71667,37.6667,"Acanthaceae","shrub",202,"Savanna – Moist"
"Anisotes pubinervis",-4.23333,37.95,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Anisotes pubinervis",-3.28333,36.9333,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes spectabilis",-7.2,37.6167,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Anisotes umbrosus",-6.36667,36.6667,"Acanthaceae","shrub",1404,"Artificial – Rural Gardens"
"Asystasia gangetica",-8.43333,38.3667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.26667,34.85,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-5.1,38.6333,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia schimperi",-2.35,34.85,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.25,34.8833,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-1.68333,33.8167,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia schimperi",-2.6,30.5,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-7.03333,37.6333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-5.08333,38.4333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-5.83333,34.95,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia linearis",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia gangetica subsp. micrantha",-5.15,38.4167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.31667,31.8,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia mysurensis",-8.03333,31.65,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia schimperi",-2.68333,35.0167,"Acanthaceae","herb",405,"Grassland – Subtropical/tropical dry"
"Asystasia gangetica",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-10.1667,39.3,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia linearis",-8.46667,38.55,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-2.5,30.6167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia gangetica",-4.86666,29.6333,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Asystasia gangetica",-1.12138,31.4811,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-8.81666,33.2667,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-6.95972,39.493,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-1.0675,31.5992,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schliebenii",-6.11667,37.55,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-4.94527,38.6894,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-4.98722,38.6942,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.03888,31.5317,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia hedbergii",-4.6775,29.6217,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-7.2,37.2167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.03888,31.5317,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-1.01611,31.6155,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-4.68194,29.6228,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia minutiflora",-5.1,38.6167,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia albiflora",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia moorei",-5.06139,38.7389,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia gangetica",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica",-5.06138,38.6328,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia gangetica",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia glandulosa",-8.25,35.0167,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia gangetica",-6,37.7167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-4.31833,37.9894,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia albiflora",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica",-6.28333,38.5667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.0425,31.4964,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-5.02389,38.6369,"Acanthaceae","herb",202,"Savanna – Moist"
"Asystasia gangetica",-4.6775,29.6217,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia leptostachya",-1.10555,31.5769,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia vogeliana",-1.10555,31.5769,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-7.28333,37.2,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
