species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Psychotria punctata,Rubiaceae,Psychotria,Gentianales,shrub,NA,165,165,-5.570661696969697,37.583769090909094
Dracaena laxissima,Asparagaceae,Dracaena,Asparagales,shrub,NA,154,154,-6.293314675324675,36.53846168831169
Acalypha ornata,Euphorbiaceae,Acalypha,Malpighiales,shrub,NA,153,153,-6.182740196078432,35.44321503267974
Xymalos monospora,Monimiaceae,Xymalos,Laurales,tree,NA,129,129,-5.354303178294574,36.810727906976744
Dracaena mannii,Asparagaceae,Dracaena,Asparagales,tree,NA,114,114,-7.01057649122807,35.97820877192982
Maesa lanceolata,Primulaceae,Maesa,Ericales,shrub,NA,111,111,-6.371706486486486,35.75248738738739
Combretum molle,Combretaceae,Combretum,Myrtales,tree,NA,110,110,-6.048478363636364,35.20882454545455
Tarenna pavettoides subsp. affinis,Rubiaceae,Tarenna,Gentianales,shrub,NA,109,109,-5.851239541284404,37.83113577981651
Hoslundia opposita,Lamiaceae,Hoslundia,Lamiales,shrub,NA,104,104,-5.750378942307693,36.290959615384615
Scolopia platyphylla,Salicaceae,Scolopia,Malpighiales,tree,NA,101,101,-6.419483267326733,36.015746534653466
Acalypha brachiata,Euphorbiaceae,Acalypha,Malpighiales,herb,NA,98,98,-5.93814,33.932259183673466
Clausena anisata,Rutaceae,Clausena,Sapindales,shrub,NA,98,98,-6.516045918367347,35.63908775510204
Vangueria infausta,Rubiaceae,Vangueria,Gentianales,shrub,NA,97,97,-6.234515051546392,35.51363092783505
Acacia hockii,Fabaceae,Acacia,Fabales,tree,NA,96,96,-5.072837916666667,34.76323125
Monanthotaxis trichocarpa,Annonaceae,Monanthotaxis,Magnoliales,shrub,liana,95,95,-6.168741157894737,38.35295473684211
Acacia polyacantha subsp. campylacantha,Fabaceae,Acacia,Fabales,tree,NA,94,94,-6.160924148936171,35.478220212765954
Aspilia mossambicensis,Asteraceae,Aspilia,Asterales,herb,NA,94,94,-5.753307765957447,35.708579787234044
Uvaria acuminata,Annonaceae,Uvaria,Magnoliales,shrub,NA,94,94,-6.302059255319149,38.67046914893617
Flacourtia indica,Salicaceae,Flacourtia,Malpighiales,tree,NA,86,86,-7.56265011627907,35.16896395348837
Rotheca myricoides subsp. myricoides,Lamiaceae,Rotheca,Lamiales,shrub,NA,84,84,-6.901934404761905,35.010511904761906
Antidesma venosum,Phyllanthaceae,Antidesma,Malpighiales,shrub,NA,83,83,-6.82599578313253,35.98511927710843
Chassalia umbraticola,Rubiaceae,Chassalia,Gentianales,shrub,NA,82,82,-6.982756585365854,38.68594390243902
Ekebergia capensis,Meliaceae,Ekebergia,Sapindales,tree,NA,82,82,-4.884854268292683,35.85555853658536
Psychotria goetzei,Rubiaceae,Psychotria,Gentianales,shrub,NA,81,81,-6.85166049382716,36.907286419753085
Dracaena fragrans,Asparagaceae,Dracaena,Asparagales,shrub,NA,80,80,-4.945278,36.33064125
Tetracera boiviniana,Dilleniaceae,Tetracera,Dilleniales,shrub,NA,79,79,-7.104809113924051,38.93544683544304
Ficus thonningii,Moraceae,Ficus,Rosales,tree,NA,78,78,-5.255939743589743,34.88484230769231
Monanthotaxis buchananii,Annonaceae,Monanthotaxis,Magnoliales,shrub,NA,78,78,-7.275873846153846,37.843051282051285
Vepris simplicifolia,Rutaceae,Vepris,Sapindales,tree,NA,78,78,-4.583472564102564,36.918948717948716
Mystroxylon aethiopicum,Celastraceae,Mystroxylon,Celastrales,shrub,NA,77,77,-6.306442597402597,36.21688961038961
Scorodophloeus fischeri,Fabaceae,Scorodophloeus,Fabales,tree,NA,77,77,-6.0708646753246756,38.61521428571429
Phoenix reclinata,Arecaceae,Phoenix,Arecales,tree,NA,76,76,-5.597803289473684,35.862017105263156
Grandidiera boivinii,Achariaceae,Grandidiera,Malpighiales,shrub,NA,75,75,-6.183716266666667,38.60978133333333
Psorospermum febrifugum,Hypericaceae,Psorospermum,Malpighiales,shrub,NA,75,75,-7.659889333333333,34.762481333333334
Agelaea pentagyna,Connaraceae,Agelaea,Oxalidales,liana,NA,74,74,-5.382359864864865,36.23681891891892
Bridelia micrantha,Phyllanthaceae,Bridelia,Malpighiales,tree,NA,74,74,-6.106587027027027,35.497685135135136
Coffea mufindiensis subsp. mufindiensis,Rubiaceae,Coffea,Gentianales,tree,NA,74,74,-8.056847837837838,35.68362027027027
Dodonaea viscosa,Sapindaceae,Dodonaea,Sapindales,shrub,NA,74,74,-6.682888108108108,36.3998472972973
Mallotus oppositifolius,Euphorbiaceae,Mallotus,Malpighiales,shrub,NA,74,74,-6.167805810810811,37.20887972972973
Chamaecrista mimosoides,Fabaceae,Chamaecrista,Fabales,herb,NA,73,73,-6.385673972602739,35.88718219178082
Hypoestes forskaolii,Acanthaceae,Hypoestes,Lamiales,herb,NA,73,73,-7.0162405479452055,35.64138219178082
Monodora grandidieri,Annonaceae,Monodora,Magnoliales,tree,NA,73,73,-6.435850547945206,38.46036164383562
Piper capense,Piperaceae,Piper,Piperales,shrub,NA,72,72,-6.601922222222222,36.36230277777778
Sorindeia madagascariensis,Anacardiaceae,Sorindeia,Sapindales,tree,NA,72,72,-6.730620972222222,38.11431944444445
Dichapetalum mossambicense,Dichapetalaceae,Dichapetalum,Malpighiales,shrub,NA,71,71,-7.223857746478873,38.95054084507042
Erythrococca usambarica,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,71,71,-6.296680281690141,37.8057014084507
Keetia gueinzii,Rubiaceae,Keetia,Gentianales,shrub,liana,71,71,-7.179160422535211,35.035718309859156
Smilax anceps,Smilacaceae,Smilax,Liliales,liana,liana,71,71,-6.580830422535211,34.690314084507044
Acacia nilotica subsp. subalata,Fabaceae,Acacia,Fabales,tree,NA,70,70,-4.828131714285714,36.31813285714286
Dasylepis integra,Achariaceae,Dasylepis,Malpighiales,tree,NA,70,70,-4.6472557142857145,38.25107571428571
Brachystegia spiciformis,Fabaceae,Brachystegia,Fabales,tree,NA,69,69,-7.126953188405797,35.27732753623189
Psychotria capensis subsp. riparia,Rubiaceae,Psychotria,Gentianales,shrub,NA,69,69,-7.522860434782609,35.6269884057971
Salvadora persica,Salvadoraceae,Salvadora,Brassicales,shrub,NA,69,69,-5.314878115942029,37.17344782608696
