species,decimalLatitude,decimalLongitude,family,a_habit
Acanthopale confertiflora,-9.16666,33.8833,Acanthaceae,shrub
Acanthopale confertiflora,-6,37.7167,Acanthaceae,shrub
Acanthopale confertiflora,-9.96666,34.5833,Acanthaceae,shrub
Acanthopale laxiflora,-4.51667,38.3,Acanthaceae,herb
Acanthopale pubescens,-6.94,36.5675,Acanthaceae,shrub
Acanthopale laxiflora,-4.71667,38.3,Acanthaceae,herb
Acanthopale laxiflora,-1.05,31.55,Acanthaceae,herb
Acanthopale pubescens,-6.09861,37.4953,Acanthaceae,shrub
Acanthopale laxiflora,-3.38417,36.7919,Acanthaceae,herb
Acanthopale pubescens,-6.17,30.6667,Acanthaceae,shrub
Acanthopale laxiflora,-3.26667,36.45,Acanthaceae,herb
Acanthus polystachyus var. polystachyus,-2.7,30.7,Acanthaceae,herb
Acanthus montanus,-9.28333,33.6167,Acanthaceae,herb
Acanthus montanus,-9.28333,33.6167,Acanthaceae,herb
Acanthus ueleensis,-8.61555,35.6217,Acanthaceae,herb
Acanthus ueleensis,-9.33333,33.9833,Acanthaceae,herb
Acanthus ueleensis,-8.5,35.75,Acanthaceae,herb
Acanthus polystachyus var. polystachyus,-1.02361,31.6286,Acanthaceae,herb
Acanthus eminens,-8.62583,35.6186,Acanthaceae,shrub
Acanthus ueleensis,-6.21666,30.3,Acanthaceae,herb
Acanthus ueleensis,-9.01666,33.55,Acanthaceae,herb
Acanthus ueleensis,-5.51428,30.5775,Acanthaceae,herb
Acanthus ueleensis,-9.17194,33.6406,Acanthaceae,herb
Acanthus ueleensis,-5.93333,30.1,Acanthaceae,herb
Acanthus polystachyus,-4.8,38.4833,Acanthaceae,herb
Acanthus ueleensis,-8.85,33.2833,Acanthaceae,herb
Acanthus ueleensis,-7.63972,30.8522,Acanthaceae,herb
Anisosepalum humbertii,-7.75,36.4833,Acanthaceae,herb
Anisosepalum humbertii,-8.41666,35.75,Acanthaceae,herb
Anisosepalum humbertii,-8.48333,35.8167,Acanthaceae,herb
Anisosepalum humbertii,-8.41666,35.75,Acanthaceae,herb
Anisosepalum humbertii subsp. humbertii,-7.78333,36.8667,Acanthaceae,herb
Anisosepalum humbertii,-8.60166,35.6183,Acanthaceae,herb
Anisosepalum humbertii,-7.77944,36.4739,Acanthaceae,herb
Anisosepalum humbertii,-7.78333,36.4833,Acanthaceae,herb
Anisosepalum lewallei,-5.48333,30.5333,Acanthaceae,herb
Anisosepalum lewallei,-5.48333,30.5333,Acanthaceae,herb
Anisotes dumosus subsp. dumosus,-3.66666,33.4333,Acanthaceae,shrub
Anisotes pubinervis,-9.28333,33.6167,Acanthaceae,shrub
Anisotes bracteatus,-7.7,34.85,Acanthaceae,shrub
Anisotes bracteatus,-6.53333,36.3667,Acanthaceae,shrub
Anisotes sessiliflorus subsp. iringensis,-7.45,36.5667,Acanthaceae,shrub
Anisotes pubinervis,-4.78333,38.5,Acanthaceae,shrub
Anisotes sessiliflorus subsp. iringensis,-7.5,36.5,Acanthaceae,shrub
Anisotes nyassae,-8.59972,35.6242,Acanthaceae,shrub
Anisotes nyassae,-8.59972,35.6242,Acanthaceae,shrub
